Sl. No.,NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RedRatio,dA,dB,dC,Fatigue
70,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,413
71,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,395
72,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,398
73,845,845,30,24,30,0,30,0,30,650,60,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,378
74,845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,372
75,845,845,30,24,30,0,30,0,30,650,60,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,415
76,845,845,30,24,30,0,30,0,30,650,60,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,396
77,845,845,30,24,30,0,30,0,30,650,60,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,388
78,845,845,30,24,30,0,30,0,30,650,60,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,415
79,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,398
80,845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,382
81,825,825,30,24,30,0,30,0,30,550,60,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,1740,0.07,0,0,523
82,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,1270,0.08,0.01,0,534
83,825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,825,0.12,0.02,0,489
84,825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,660,0.06,0,0,500
85,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,825,0.1,0,0,495
86,825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,1740,0.08,0,0,522
87,825,825,30,24,30,0,30,0,30,550,60,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,1270,0.09,0,0,531
88,825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,1270,0.1,0.01,0,533
89,825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,610,0.06,0,0.04,492
90,825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,1740,0.09,0,0,505
91,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,610,0.08,0,0.04,541
92,825,825,30,24,30,0,30,0,30,600,60,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,1740,0.07,0,0,468
93,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,1270,0.08,0.01,0,459
94,825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,825,0.12,0.02,0,444
95,825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,660,0.06,0,0,458
96,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,825,0.1,0,0,445
97,825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,1740,0.08,0,0,464
98,825,825,30,24,30,0,30,0,30,600,60,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,1270,0.09,0,0,466
99,825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,1270,0.1,0.01,0,486
100,825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,610,0.06,0,0.04,461
101,825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,1740,0.09,0,0,464
102,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,610,0.08,0,0.04,475
103,825,825,30,24,30,0,30,0,30,650,60,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,1740,0.07,0,0,419
104,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,1270,0.08,0.01,0,418
105,825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,825,0.12,0.02,0,402
106,825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,660,0.06,0,0,398
107,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,825,0.1,0,0,411
108,825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,1740,0.08,0,0,428
109,825,825,30,24,30,0,30,0,30,650,60,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,1270,0.09,0,0,415
110,825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,1270,0.1,0.01,0,425
111,825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,610,0.06,0,0.04,412
112,825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,1740,0.09,0,0,410
113,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,610,0.08,0,0.04,415
114,870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,1740,0.03,0,0,582
115,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,820,0.01,0,0.01,524
116,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,1120,0.02,0,0.03,583
117,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,1740,0.03,0,0.01,569
118,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,820,0.01,0.01,0.01,536
119,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,1120,0.01,0,0.01,577
120,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,820,0.03,0,0.02,565
121,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,1120,0.02,0,0.01,562
122,870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,1740,0.03,0,0,522
123,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,820,0.01,0,0.01,504
124,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,1120,0.02,0,0.03,516
125,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,1740,0.03,0,0.01,517
126,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,820,0.01,0.01,0.01,511
127,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,1120,0.01,0,0.01,518
128,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,820,0.03,0,0.02,524
129,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,1120,0.02,0,0.01,503
130,870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,1740,0.03,0,0,483
131,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,820,0.01,0,0.01,457
132,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,1120,0.02,0,0.03,482
133,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,1740,0.03,0,0.01,470
134,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,820,0.01,0.01,0.01,459
135,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,1120,0.01,0,0.01,490
136,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,820,0.03,0,0.02,485
137,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,1120,0.02,0,0.01,483
138,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,587
139,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,571
140,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,578
141,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,526
142,870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,500,0.08,0,0.01,535
143,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,740,0.02,0,0.01,572
144,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,530,0.01,0.01,0,562
145,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,1120,0.03,0,0.01,563
146,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,1740,0.05,0,0,583
147,870,855,30,8,30,0,30,0,30,550,60,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,640,0.03,0,0,585
148,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,820,0.1,0,0,592
149,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,573
150,870,855,30,8,30,0,30,0,30,550,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,536
151,870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,557
152,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,552
153,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,519
154,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,524
155,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,508
156,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,500,0.08,0,0.01,490
157,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,740,0.02,0,0.01,550
158,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,530,0.01,0.01,0,515
159,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,1120,0.03,0,0.01,530
160,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,1740,0.05,0,0,546
161,870,855,30,8,30,0,30,0,30,600,60,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,640,0.03,0,0,535
162,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,820,0.1,0,0,550
163,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,542
164,870,855,30,8,30,0,30,0,30,600,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,592
165,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,524
166,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,497
167,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,491
168,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,463
169,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,464
170,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,500,0.08,0,0.01,459
171,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,740,0.02,0,0.01,489
172,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,530,0.01,0.01,0,477
173,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,1120,0.03,0,0.01,469
174,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,1740,0.05,0,0,496
175,870,855,30,8,30,0,30,0,30,650,60,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,640,0.03,0,0,467
176,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,820,0.1,0,0,511
177,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,500,0.05,0,0.02,490
178,870,855,30,8,30,0,30,0,30,650,60,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,1120,0.03,0,0.02,523
179,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,500,0.08,0,0,476
180,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,530,0.03,0,0,610
181,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,500,0.08,0,0.01,581
182,870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,1740,0.06,0,0,625
183,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,610,0.05,0,0.01,562
184,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,510,0.04,0,0.01,635
185,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,700,0.03,0,0,566
